smiles,molecule_chembl_id,pref_name,ic50_nM,pIC50
O=C(Nc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,CHEMBL1090354,,170.0,6.769551078621726
O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1)Oc1ccccc1,CHEMBL1090355,,170.0,6.769551078621726
O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,CHEMBL1090356,,370.0,6.431798275933005
O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1)c1c(F)cccc1F,CHEMBL1088931,,86.0,7.0655015487564325
CN(C)CCc1ccc(Nc2nccc(-c3c(-c4cccc(NC(=O)c5c(F)cccc5F)c4)nc4sccn34)n2)cc1,CHEMBL1090357,,4.3,8.366531544420413
CCN1CCN(c2ccc(Nc3nccc(-c4c(-c5cccc(NC(=O)c6c(F)cccc6F)c5)nc5sccn45)n3)cc2)CC1,CHEMBL1090358,,14.0,7.853871964321762
O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc4c(c3)CCNC4)n2)c1)c1c(F)cccc1F,CHEMBL1090359,,7.2,8.142667503568731
O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1,CHEMBL1090360,,73.0,7.136677139879544
CN1CCc2cc(Nc3nccc(-c4c(-c5cccc(NC(=O)Cc6ccccc6)c5)nc5sccn45)n3)ccc2C1,CHEMBL1090361,,160.0,6.795880017344075
CCN1CCN(c2ccc(Nc3nccc(-c4c(-c5cccc(NC(=O)Cc6ccccc6)c5)nc5sccn45)n3)cc2)CC1,CHEMBL1090362,,170.0,6.769551078621726
