smiles,dsstox_substance_id,casn,chnm,aeid,hitc,modl,coff
C(CS(=O)(=O)O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID00192353,39108-34-4,8:2 Fluorotelomer sulfonic acid,112,0.034745751121172716,pow,0.7755397352445266
COC(C(C(F)(F)F)(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,DTXSID20881338,132182-92-4,3-Methoxyperfluoro(2-methylpentane),112,0.0,exp4,0.7755397352445266
C(CS)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID20337446,34143-74-3,2-(Perfluorooctyl)ethanthiol,112,0.0,gnls,0.7755397352445266
C(C(N(C(C(C(F)(F)F)(F)F)(F)F)C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)(F)F,DTXSID9059834,338-83-0,Perfluamine,112,0.0,gnls,0.7755397352445266
C(C(=O)C(C(F)(F)F)(F)F)C(=O)C(F)(F)F,DTXSID90174941,20825-07-4,"3H,3H-Perfluoro-2,4-hexanedione",112,1.32583480444864e-11,poly1,0.7755397352445266
C(C[Si](Cl)(Cl)Cl)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID50229163,78560-45-9,Trichloro((perfluorohexyl)ethyl)silane,112,7.442269259864522e-08,poly1,0.7755397352445266
C=CC(=O)OCC(C(C(C(COC(=O)C=C)(F)F)(F)F)(F)F)(F)F,DTXSID80379721,2264-01-9,"1H,1H,6H,6H-Perfluorohexane-1,6-diol diacrylate",112,0.04576438382672995,pow,0.7755397352445266
C(C(C(F)(F)I)(F)F)(C(F)(F)F)(F)F,DTXSID0047583,423-39-2,Nonafluoro-1-iodobutane,112,0.0,exp5,0.7755397352445266
C(=O)(C(C(C(C(C(C(C(C(F)(F)Cl)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,DTXSID30382104,865-79-2,9-Chloro-perfluorononanoic acid,112,0.9971057933502641,exp2,0.7755397352445266
C1(=O)C(C(C(=O)O1)(F)F)(F)F,DTXSID6061022,699-30-9,Perfluorosuccinic anhydride,112,1.521136395348796e-08,pow,0.7755397352445266
