dsstox_substance_id,casn,chnm,aeid,hitc,modl,coff
DTXSID60377826,355-27-1,"1H,1H-Perfluoropentylamine",115,5.07045286975354e-12,poly1,0.8553064962601256
DTXSID30395037,58244-27-2,tris(Trifluoroethoxy)methane,115,1.1451701086445275e-07,poly1,0.8553064962601256
DTXSID4059914,375-01-9,3:1 Fluorotelomer alcohol,115,1.9701580718168085e-07,poly1,0.8553064962601256
DTXSID3065586,13695-31-3,(Perfluoropropyl)methyl methacrylate,115,6.187106588024505e-09,poly1,0.8553064962601256
DTXSID90174941,20825-07-4,"3H,3H-Perfluoro-2,4-hexanedione",115,0.0,exp4,0.8553064962601256
DTXSID1047578,2043-55-2,"1H,1H,2H,2H-Perfluorohexyl iodide",115,0.0,exp4,0.8553064962601256
DTXSID30170109,1763-28-6,"3,3-Bis(trifluoromethyl)-2-propenoic acid",115,3.7162321868802863e-13,poly1,0.8553064962601256
DTXSID0059794,307-34-6,Perfluorooctane,115,0.0,exp4,0.8553064962601256
DTXSID30627108,80220-63-9,((Perfluorooctyl)ethyl)phosphonic acid,115,6.708192461646081e-12,poly1,0.8553064962601256
DTXSID50381992,883498-76-8,"Bis(1H,1H-perfluoropropyl)amine",115,1.3444872506907345e-10,poly1,0.8553064962601256
DTXSID60379269,679-02-7,3-(Perfluoropropyl)propanol,115,1.1719854664776873e-12,poly1,0.8553064962601256
DTXSID4059916,375-22-4,Perfluorobutanoic acid,115,7.882644996693934e-13,poly1,0.8553064962601256
DTXSID40380797,147492-57-7,"1H,1H-Perfluoro-3,6,9-trioxadecan-1-ol",115,5.651633476768746e-08,poly1,0.8553064962601256
DTXSID1037303,375-85-9,Perfluoroheptanoic acid,115,4.123937952061163e-11,poly1,0.8553064962601256
DTXSID90558000,57678-01-0,6:2 Fluorotelomer phosphate monoester,115,1.1078039028510847e-11,poly1,0.8553064962601256
DTXSID70880230,19932-26-4,"((2,2,3,3-Tetrafluoropropoxy)methyl)oxirane",115,9.435052829631037e-12,poly1,0.8553064962601256
DTXSID70400078,3834-42-2,(Heptafluoropropyl)trimethylsilane,115,0.0,none,0.8553064962601256
DTXSID10379991,1651-41-8,3-(Perfluorooctyl)propanol,115,4.4006745782200146e-11,poly1,0.8553064962601256
DTXSID40204489,559-14-8,Perfluorooct-1-ene,115,4.056103039432551e-14,poly1,0.8553064962601256
DTXSID3038939,754-91-6,Perfluorooctanesulfonamide,115,1.7077312681021033e-09,poly1,0.8553064962601256
DTXSID70400078,3834-42-2,(Heptafluoropropyl)trimethylsilane,115,0.0,exp4,0.8553064962601256
DTXSID9059969,422-63-9,"1H-Perfluoro-1,1-propanediol",115,5.85520885005306e-18,poly1,0.8553064962601256
DTXSID6067331,27619-97-2,6:2 Fluorotelomer sulfonic acid,115,3.8366935379258537e-16,poly1,0.8553064962601256
DTXSID0059871,354-76-7,Pentafluoropropionamide,115,0.0,exp4,0.8553064962601256
DTXSID0059829,335-66-0,Perfluorooctanoyl fluoride,115,3.120684598999216e-12,poly1,0.8553064962601256
DTXSID40187142,335-64-8,Pentadecafluorooctanoyl chloride,115,3.8195682529896587e-14,poly1,0.8553064962601256
DTXSID90190949,375-80-4,"1,6-Diiodoperfluorohexane",115,5.462216336343265e-07,poly1,0.8553064962601256
DTXSID20379947,34451-26-8,2-(Perfluorohexyl)ethanethiol,115,1.5793496145038432e-14,poly1,0.8553064962601256
DTXSID90880131,355-93-1,"1H,1H,5H-Perfluoropentyl methacrylate",115,1.393070021775566e-14,poly1,0.8553064962601256
DTXSID80382154,52447-22-0,Perfluoroheptanoyl chloride,115,8.687305980290538e-14,poly1,0.8553064962601256
DTXSID00379925,52447-23-1,Perfluorononanoyl chloride,115,0.009247051796831881,exp2,0.8553064962601256
DTXSID20335129,918-22-9,"1,6-Dibromododecafluorohexane",115,6.388626012199012e-15,poly1,0.8553064962601256
DTXSID50184723,307-29-9,"1H,1H-Perfluorooctylamine",115,2.1027531468918336e-13,poly1,0.8553064962601256
DTXSID50379930,355-47-5,"1H,1H-Perfluorononylamine",115,9.692713499535456e-20,poly1,0.8553064962601256
DTXSID10379835,423-49-4,"1H,1H-Perfluoroheptylamine",115,2.0978376145422219e-13,poly1,0.8553064962601256
DTXSID70565479,13973-14-3,8H-Perfluorooctanoic acid,115,1.253859501534343e-17,poly1,0.8553064962601256
DTXSID70379917,27854-30-4,3-(Perfluorohexyl)propanoic acid,115,2.4834626523332546e-14,poly1,0.8553064962601256
DTXSID30190948,375-50-8,"Perfluoro-1,4-diiodobutane",115,6.55836748193153e-11,poly1,0.8553064962601256
DTXSID80380837,151772-59-7,"Perfluoro-3,6,9-trioxadecanoic acid",115,4.437486071067458e-15,poly1,0.8553064962601256
DTXSID70381090,129301-42-4,"1H,1H,8H,8H-Perfluoro-3,6-dioxaoctane-1,8-diol",115,1.437209064544187e-13,poly1,0.8553064962601256
DTXSID20335700,424-18-0,Methyl perfluorohexanoate,115,1.7144348334066987e-18,gnls,0.8553064962601256
DTXSID60377821,3792-02-7,4:4 Fluorotelomer alcohol,115,0.0,exp4,0.8553064962601256
DTXSID60377826,355-27-1,"1H,1H-Perfluoropentylamine",115,4.652435905639802e-12,gnls,0.8553064962601256
DTXSID70870515,356-42-3,Pentafluoropropanoic anhydride,115,8.845948760666904e-10,poly1,0.8553064962601256
DTXSID5042326,163702-08-7,Perfluoroisobutyl methyl ether,115,2.1572048334942386e-09,poly1,0.8553064962601256
DTXSID70481246,1619-92-7,2-Amino-2H-perfluoropropane,115,1.681780932384522e-08,poly1,0.8553064962601256
DTXSID20874028,914637-49-3,"2H,2H,3H,3H-Perfluorooctanoic acid",115,1.5333406014386963e-10,poly1,0.8553064962601256
DTXSID20375106,55621-21-1,"Perfluoro-3,6-dioxaoctane-1,8-dioic acid",115,7.845297644401928e-12,poly1,0.8553064962601256
DTXSID50218052,678-78-4,Perfluoroglutaryl difluoride,115,2.611412299414506e-14,gnls,0.8553064962601256
DTXSID80310730,355-66-8,Octafluoroadipamide,115,4.83403424301062e-13,poly1,0.8553064962601256
DTXSID70379295,77953-71-0,"3H-Perfluoro-2,2,4,4-tetrahydroxypentane",115,6.5053118343123695e-09,exp4,0.8553064962601256
DTXSID70366226,355-81-7,Perfluoropentanamide,115,4.5778724824678685e-09,poly1,0.8553064962601256
DTXSID2060965,662-50-0,Heptafluorobutyramide,115,4.4440430774492985e-13,poly1,0.8553064962601256
DTXSID80382093,31253-34-6,2-Aminohexafluoropropan-2-ol,115,7.27964882223084e-13,poly1,0.8553064962601256
DTXSID30170109,1763-28-6,"3,3-Bis(trifluoromethyl)-2-propenoic acid",115,3.235424820288783e-10,poly1,0.8553064962601256
DTXSID8037708,3825-26-1,Ammonium perfluorooctanoate,115,2.019838153451116e-10,poly1,0.8553064962601256
DTXSID1067629,31506-32-8,N-Methylperfluorooctanesulfonamide,115,5.934132130216797e-11,poly1,0.8553064962601256
DTXSID30891564,757124-72-4,4:2 Fluorotelomer sulfonic acid,115,2.1004280138627377e-11,pow,0.8553064962601256
DTXSID1032646,4151-50-2,N-Ethylperfluorooctane sulfonamide,115,6.303692367873696e-13,poly1,0.8553064962601256
DTXSID10382147,125070-38-4,"3-(Perfluoro-2-butyl)propane-1,2-diol",115,3.2844274665627677e-09,poly1,0.8553064962601256
DTXSID3037709,3871-99-6,Potassium perfluorohexanesulfonate,115,1.1619121709353571e-09,poly1,0.8553064962601256
DTXSID6047575,19430-93-4,(Perfluorobutyl)ethene,115,9.86379262793263e-08,poly1,0.8553064962601256
DTXSID5073901,406-58-6,"1,1,1,3,3-Pentafluorobutane",115,1.1464497173027032e-13,poly1,0.8553064962601256
DTXSID50441560,132424-36-3,"Methyl 2H,2H,3H,3H-perfluoroheptanoate",115,1.8462984294802386e-13,poly1,0.8553064962601256
DTXSID7029904,678-39-7,2-(Perfluorooctyl)ethanol,115,3.4699981288987657e-09,poly1,0.8553064962601256
DTXSID1062122,2043-47-2,4:2 Fluorotelomer alcohol,115,0.0,exp4,0.8553064962601256
DTXSID4059914,375-01-9,3:1 Fluorotelomer alcohol,115,0.0,exp4,0.8553064962601256
DTXSID70880134,374-40-3,1-Pentafluoroethylethanol,115,6.048454237344445e-13,poly1,0.8553064962601256
DTXSID0059879,355-80-6,"1H,1H,5H-Perfluoropentanol",115,4.089049688113195e-14,poly1,0.8553064962601256
DTXSID8046614,28523-86-6,Sevoflurane,115,4.048089812771259e-18,poly1,0.8553064962601256
DTXSID50379359,239795-57-4,2-Vinylperfluorobutane,115,2.4845903093704936e-12,poly1,0.8553064962601256
DTXSID8031865,335-67-1,Perfluorooctanoic acid,115,6.144039549451232e-11,poly1,0.8553064962601256
DTXSID3037707,29420-49-3,Potassium perfluorobutanesulfonate,115,1.8337001914401912e-11,poly1,0.8553064962601256
DTXSID6027426,1691-99-2,N-Ethyl-N-(2-hydroxyethyl)perfluorooctane sulfonamide,115,3.131707274576004e-12,poly1,0.8553064962601256
DTXSID3047558,2144-53-8,2-(Perfluorohexyl)ethyl methacrylate,115,1.0004170925866012e-13,poly1,0.8553064962601256
DTXSID3038939,754-91-6,Perfluorooctanesulfonamide,115,1.7833688413726192e-10,poly1,0.8553064962601256
DTXSID70880215,13252-13-6,Perfluoro-2-methyl-3-oxahexanoic acid,115,2.7812513416851564e-14,poly1,0.8553064962601256
DTXSID10379850,1767-94-8,6H-Perfluorohex-1-ene,115,3.8286092461670435e-13,poly1,0.8553064962601256
DTXSID90275806,1694-30-0,3H-Perfluoro-4-hydroxy-3-penten-2-one,115,2.77040105031285e-13,poly1,0.8553064962601256
DTXSID9059832,335-99-9,"1H,1H,7H-Dodecafluoro-1-heptanol",115,8.909080884816843e-11,poly1,0.8553064962601256
DTXSID40380257,243139-64-2,3-(Perfluoroisopropyl)-2-propenoic acid,115,1.6559407335759521e-13,poly1,0.8553064962601256
DTXSID60400587,13485-61-5,Nonafluoropentanamide,115,3.7777901196415075e-10,poly1,0.8553064962601256
DTXSID5046516,333-36-8,Flurothyl,115,1.0877202787266596e-10,poly1,0.8553064962601256
DTXSID5044572,647-42-7,2-(Perfluorohexyl)ethanol,115,3.149310440708825e-16,poly1,0.8553064962601256
DTXSID80375107,423-65-4,11:1 Fluorotelomer alcohol,115,5.730681829427548e-10,poly1,0.8553064962601256
DTXSID8031863,375-95-1,Perfluorononanoic acid,115,3.160332925672868e-12,poly1,0.8553064962601256
DTXSID3037709,3871-99-6,Potassium perfluorohexanesulfonate,115,3.8074045080706833e-13,poly1,0.8553064962601256
